,index,name,date,price
228,6,上海绿城,201604,80489
229,6,上海绿城,201605,79137
230,6,上海绿城,201606,76724
231,6,上海绿城,201607,79887
232,6,上海绿城,201608,82546
233,6,上海绿城,201609,83828
234,6,上海绿城,201610,85435
235,6,上海绿城,201611,87273
236,6,上海绿城,201612,89557
237,6,上海绿城,201701,87720
238,6,上海绿城,201702,86566
239,6,上海绿城,201703,86677
240,6,上海绿城,201704,88781
241,6,上海绿城,201705,93669
242,6,上海绿城,201706,93650
243,6,上海绿城,201707,92635
244,6,上海绿城,201708,89673
245,6,上海绿城,201709,90239
246,6,上海绿城,201710,91696
247,6,上海绿城,201711,90431
248,6,上海绿城,201712,89415
249,6,上海绿城,201801,91075
250,6,上海绿城,201802,92905
251,6,上海绿城,201803,92763
252,7,仁恒河滨城(三期),201504,0
253,7,仁恒河滨城(三期),201505,0
254,7,仁恒河滨城(三期),201506,0
255,7,仁恒河滨城(三期),201507,0
256,7,仁恒河滨城(三期),201508,0
257,7,仁恒河滨城(三期),201509,0
258,7,仁恒河滨城(三期),201510,0
259,7,仁恒河滨城(三期),201511,0
260,7,仁恒河滨城(三期),201512,0
261,7,仁恒河滨城(三期),201601,0
262,7,仁恒河滨城(三期),201602,0
263,7,仁恒河滨城(三期),201603,0
264,7,仁恒河滨城(三期),201604,0
265,7,仁恒河滨城(三期),201605,0
266,7,仁恒河滨城(三期),201606,0
267,7,仁恒河滨城(三期),201607,0
268,7,仁恒河滨城(三期),201608,0
269,7,仁恒河滨城(三期),201609,0
270,7,仁恒河滨城(三期),201610,0
271,7,仁恒河滨城(三期),201611,0
272,7,仁恒河滨城(三期),201612,0
273,7,仁恒河滨城(三期),201701,0
274,7,仁恒河滨城(三期),201702,0
275,7,仁恒河滨城(三期),201703,104897
276,7,仁恒河滨城(三期),201704,106622
277,7,仁恒河滨城(三期),201705,111804
278,7,仁恒河滨城(三期),201706,110210
279,7,仁恒河滨城(三期),201707,110811
280,7,仁恒河滨城(三期),201708,111518
281,7,仁恒河滨城(三期),201709,110325
282,7,仁恒河滨城(三期),201710,110566
283,7,仁恒河滨城(三期),201711,111670
284,7,仁恒河滨城(三期),201712,113482
285,7,仁恒河滨城(三期),201801,113925
286,7,仁恒河滨城(三期),201802,114879
287,7,仁恒河滨城(三期),201803,116184
288,8,碧云国际社区晓园,201504,50195
289,8,碧云国际社区晓园,201505,50869
290,8,碧云国际社区晓园,201506,53482
291,8,碧云国际社区晓园,201507,55482
292,8,碧云国际社区晓园,201508,56002
293,8,碧云国际社区晓园,201509,56203
294,8,碧云国际社区晓园,201510,57210
295,8,碧云国际社区晓园,201511,59966
296,8,碧云国际社区晓园,201512,65523
297,8,碧云国际社区晓园,201601,70702
298,8,碧云国际社区晓园,201602,72510
299,8,碧云国际社区晓园,201603,80637
300,8,碧云国际社区晓园,201604,80494
301,8,碧云国际社区晓园,201605,79462
302,8,碧云国际社区晓园,201606,79939
303,8,碧云国际社区晓园,201607,80156
304,8,碧云国际社区晓园,201608,80413
305,8,碧云国际社区晓园,201609,81046
306,8,碧云国际社区晓园,201610,84172
307,8,碧云国际社区晓园,201611,84431
308,8,碧云国际社区晓园,201612,83926
309,8,碧云国际社区晓园,201701,83918
310,8,碧云国际社区晓园,201702,83893
311,8,碧云国际社区晓园,201703,84345
312,8,碧云国际社区晓园,201704,85868
313,8,碧云国际社区晓园,201705,94585
314,8,碧云国际社区晓园,201706,93238
315,8,碧云国际社区晓园,201707,94451
316,8,碧云国际社区晓园,201708,91135
317,8,碧云国际社区晓园,201709,92051
318,8,碧云国际社区晓园,201710,92282
319,8,碧云国际社区晓园,201711,92667
320,8,碧云国际社区晓园,201712,91475
321,8,碧云国际社区晓园,201801,91815
322,8,碧云国际社区晓园,201802,92869
323,8,碧云国际社区晓园,201803,93670
324,9,金谊河畔,201504,35544
325,9,金谊河畔,201505,36337
326,9,金谊河畔,201506,36920
327,9,金谊河畔,201507,37540
328,9,金谊河畔,201508,38417
329,9,金谊河畔,201509,39984
330,9,金谊河畔,201510,41017
331,9,金谊河畔,201511,41824
332,9,金谊河畔,201512,42792
333,9,金谊河畔,201601,45744
334,9,金谊河畔,201602,48336
335,9,金谊河畔,201603,58433
336,9,金谊河畔,201604,58007
337,9,金谊河畔,201605,57278
338,9,金谊河畔,201606,56180
339,9,金谊河畔,201607,56907
340,9,金谊河畔,201608,57208
341,9,金谊河畔,201609,58955
342,9,金谊河畔,201610,59668
343,9,金谊河畔,201611,61754
344,9,金谊河畔,201612,62772
345,9,金谊河畔,201701,62484
346,9,金谊河畔,201702,62402
347,9,金谊河畔,201703,62673
348,9,金谊河畔,201704,63155
349,9,金谊河畔,201705,64939
350,9,金谊河畔,201706,65113
351,9,金谊河畔,201707,64726
352,9,金谊河畔,201708,63077
353,9,金谊河畔,201709,63928
354,9,金谊河畔,201710,65184
355,9,金谊河畔,201711,64737
356,9,金谊河畔,201712,64203
357,9,金谊河畔,201801,65341
358,9,金谊河畔,201802,64958
359,9,金谊河畔,201803,65529
360,10,申金大厦,201504,0
361,10,申金大厦,201505,0
362,10,申金大厦,201506,0
363,10,申金大厦,201507,0
364,10,申金大厦,201508,0
365,10,申金大厦,201509,0
366,10,申金大厦,201510,0
367,10,申金大厦,201511,0
368,10,申金大厦,201512,0
369,10,申金大厦,201601,0
370,10,申金大厦,201602,0
371,10,申金大厦,201603,0
372,10,申金大厦,201604,0
373,10,申金大厦,201605,0
374,10,申金大厦,201606,0
375,10,申金大厦,201607,0
376,10,申金大厦,201608,0
377,10,申金大厦,201609,0
378,10,申金大厦,201610,0
379,10,申金大厦,201611,0
380,10,申金大厦,201612,0
381,10,申金大厦,201701,0
382,10,申金大厦,201702,0
383,10,申金大厦,201703,0
384,10,申金大厦,201704,53605
385,10,申金大厦,201705,50032
386,10,申金大厦,201706,56889
387,10,申金大厦,201707,57328
388,10,申金大厦,201708,57758
389,10,申金大厦,201709,58341
390,10,申金大厦,201710,56653
391,10,申金大厦,201711,58376
392,10,申金大厦,201712,60529
393,10,申金大厦,201801,54766
394,10,申金大厦,201802,51793
395,10,申金大厦,201803,52166
396,11,浦东世纪花园(二期公寓),201504,0
397,11,浦东世纪花园(二期公寓),201505,50988
398,11,浦东世纪花园(二期公寓),201506,51218
399,11,浦东世纪花园(二期公寓),201507,52672
400,11,浦东世纪花园(二期公寓),201508,54600
401,11,浦东世纪花园(二期公寓),201509,56916
402,11,浦东世纪花园(二期公寓),201510,64725
403,11,浦东世纪花园(二期公寓),201511,66834
404,11,浦东世纪花园(二期公寓),201512,68313
405,11,浦东世纪花园(二期公寓),201601,74157
406,11,浦东世纪花园(二期公寓),201602,74827
407,11,浦东世纪花园(二期公寓),201603,82041
408,11,浦东世纪花园(二期公寓),201604,83354
409,11,浦东世纪花园(二期公寓),201605,83103
410,11,浦东世纪花园(二期公寓),201606,81254
411,11,浦东世纪花园(二期公寓),201607,80201
412,11,浦东世纪花园(二期公寓),201608,79707
413,11,浦东世纪花园(二期公寓),201609,81735
414,11,浦东世纪花园(二期公寓),201610,86205
415,11,浦东世纪花园(二期公寓),201611,85966
416,11,浦东世纪花园(二期公寓),201612,86323
417,11,浦东世纪花园(二期公寓),201701,89285
418,11,浦东世纪花园(二期公寓),201702,88273
419,11,浦东世纪花园(二期公寓),201703,89072
420,11,浦东世纪花园(二期公寓),201704,88452
421,11,浦东世纪花园(二期公寓),201705,89151
422,11,浦东世纪花园(二期公寓),201706,91022
423,11,浦东世纪花园(二期公寓),201707,93418
424,11,浦东世纪花园(二期公寓),201708,92107
425,11,浦东世纪花园(二期公寓),201709,94455
