,address,long,lat,property_type,property_cost(Rmb/m^2/month),total_area(m2),number_of_units,year_built,parking_spots,volume_rate,green_rating(%),ratio
4938,怡园,31.358913,121.39828200000001,0,1.5,85000,650,2007,120,18,42,-0.3382454105438897
4939,杰圣家苑,31.327285999999997,121.480989,0,1.65,46000,611,2008,200,29,36,-0.018976776697557596
4941,宝杨路575弄小区,31.406088,121.49783500000001,0,0.5,72000,1200,1996,360,13,25,-0.24161103309298623
4943,昌鑫世纪园,31.334112,121.456977,0,0.95,42000,384,2001,178,2,41,-0.14113617598553865
4944,同盛嘉园(西区),31.384916999999998,121.440197,0,1.5,100000,560,2008,300,133,40,-0.31972135919116135
4945,沁园,31.339004,121.46043200000001,0,0.95,4500,48,2002,20,2,30,-0.4710446999556395
4947,同泰北路401弄小区,31.386002,121.499901,0,0.6,26050,750,1991,258,2,45,-0.3375028805463969
4948,锦辉豪居,31.351653000000002,121.452526,0,0.6,5000,650,2004,96,14,35,-0.29029635340951226
4950,宝山七村,31.402519,121.50533600000001,0,0.9,65000,580,2005,365,18,30,-0.2305908829627292
4952,保集欧郡,31.398149,121.45313,0,1.3,8545,811,2009,602,14,40,-0.33048499648398366
4953,新普盛公寓,31.33762,121.463305,0,0.4,26000,360,2002,198,2,39,-0.204467432862912
4956,宝山锦泰苑,31.322846999999996,121.38715,0,0.8,100000,365,1999,80,14,35,-0.24871993594846145
4957,美好家小区,31.308202,121.432775,0,0.65,55000,650,2000,375,15,40,-0.062018674749577424
4959,宝林七村,31.410721999999996,121.502279,0,1.2,45000,900,1992,300,17,35,-0.29687306194976415
4960,泗塘六村,31.338759999999997,121.465978,0,0.6,28966,100,1998,185,2,48,-0.2897369427954763
4961,锦通苑,31.34235300000001,121.480775,0,0.5,30000,300,2000,150,13,35,-0.06608611903310221
4962,共和八村,31.329802,121.46115800000001,0,0.4,36500,420,1999,178,12,20,-0.2339445388437593
4964,锦辉绿园,31.333528,121.461487,0,0.5,180000,800,2002,100,16,50,-0.1194933684438206
4965,共富二村,31.354407000000002,121.437937,0,0.6,142000,1200,2006,400,136,36,-0.2833836828769025
4967,呼玛二村,31.348470000000002,121.449642,0,0.4,69000,660,1994,88,18,26,-0.24592398264983273
4969,祁连一村,31.316933000000002,121.386728,0,0.4,3487,700,1998,560,13,40,-0.19392235308150485
4970,长征新村小区,31.376079999999998,121.498501,0,0.5,46000,720,1990,125,2,47,-0.3144830156710834
4971,三湘盛世花园(二期),31.331823999999997,121.456259,0,1.1,106000,768,2006,248,18,43,-0.07753649266862506
4972,共康公寓,31.331959,121.445125,0,0.45,100000,800,2004,100,2,30,-0.11665255943989215
4975,景华世纪园,31.333505,121.462236,0,1.2,14892,102,2002,138,155,35,-0.22891828502914477
4976,淞滨支路40弄小区,31.374315999999997,121.494277,0,0.4,21300,360,2002,158,2,39,-0.29221233360601984
4978,牡丹锦苑,31.406654999999997,121.491427,0,1.2,28000,490,2001,220,14,35,-0.14175231739733973
4979,祁连家园,31.318637,121.388783,0,0.85,12000,586,2001,157,19,42,-0.2691500050000127
4980,都市花苑,31.343721999999996,121.48459299999999,0,1.2,60000,400,2003,150,2,35,-0.24353287169569673
4981,三门路485弄小区,31.318528999999998,121.501107,0,0.8,70000,1000,1997,400,18,36,-0.1747375961771748
4983,高境欣苑,31.32493,121.49301000000001,0,0.45,51000,396,2002,300,175,58,-0.052741317594373026
4984,远景佳苑(三期),31.291755,121.42333700000002,0,1.6,91487,1956,2000,800,163,42,0.05438625317664949
4985,枫桥湾名邸,31.340823999999998,121.492498,0,0.6,33147,312,2003,28,125,40,-0.10117938732437266
4986,恺源景江苑,31.41828,121.500178,0,1.2,5000,588,2003,300,14,45,-0.1482828922705962
4987,月泉湾名邸,31.416165999999997,121.433198,0,1.23,90000,520,2004,341,12,41,-0.44896671555414674
4988,乾龙苑,31.31307,121.407845,0,0.65,40000,816,2001,78,19,30,-0.28214502420835086
4989,北华苑,31.286040999999997,121.421324,0,1.2,68000,1140,2000,200,17,35,-0.035775022266237265
