,room,area,price,orient,level,dec,line,linedistance,district,school,time,elevator,unknown1,unknown2,unknown3,unknown4,web
40,"
3室2厅2卫        ",194平米,61237元/平米,东南,中层,豪华装修,9,777,浦东,0,2006年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938840.htm
41,"
4室2厅2卫        ",200平米,76000元/平米,南北,高层,精装修,2,820,长宁,0,2017年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938736.htm
42,"
3室2厅2卫        ",145平米,100000元/平米,南北,中层,精装修,9,799,浦东,0,2004年,无 ,个人产权,普通住宅,塔板结合,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319938754.htm
43,"
3室2厅2卫        ",166.27平米,64534元/平米,暂无,高层,豪华装修,0,0,杨浦,0,2012年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319777507.htm
44,"
1室2厅1卫        ",86.89平米,84014元/平米,南,中层,精装修,1,438,闸北,0,2013年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319550932.htm
45,"
3室2厅2卫        ",148平米,62838元/平米,南北,高层,毛坯,2,458,浦东,0,2012年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319528411.htm
46,"
2室2厅1卫        ",59平米,17119元/平米,南北,中层,精装修,0,0,奉贤,0,2016年,有 ,个人产权,普通住宅,"
                                2018-04-01
                        ",18314元/平米,http://esf.sh.fang.com/chushou/3_319190737.htm
47,"
3室2厅1卫        ",103.7平米,44359元/平米,南,高层,豪华装修,11,773,嘉定,0,2014年,无 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_318760440.htm
48,"
3室2厅2卫        ",144.48平米,65753元/平米,南北,低层,精装修,0,0,杨浦,0,2002年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319480653.htm
49,"
3室2厅1卫        ",104平米,55769元/平米,暂无,中层,豪华装修,0,0,闵行,0,2017年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319365363.htm
50,"
2室2厅1卫        ",63平米,31587元/平米,南北,高层,精装修,11,512,嘉定,1,2013年,有 ,个人产权,普通住宅,平层,"
                                2018-04-02
                        ",http://esf.sh.fang.com/chushou/3_319272739.htm
51,"
2室2厅1卫        ",87.85平米,42686元/平米,南,中层,精装修,0,0,宝山,0,2013年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_317083767.htm
52,"
6室3厅5卫        ",680平米,44118元/平米,暂无,低层,精装修,0,0,青浦,0,2004年,独栋,500平米,1,2,220平米,http://esf.sh.fang.com/chushou/10_315328147.htm
53,"
2室2厅1卫        ",95平米,44211元/平米,南北,中层,精装修,11,964,普陀,0,2006年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_312759930.htm
54,"
3室2厅1卫        ",93.13平米,83754元/平米,南,中层,毛坯,1,585,闸北,0,2011年,无 ,商品房,普通住宅,"
                                2018-04-02
                        ",75365元/平米,http://esf.sh.fang.com/chushou/3_319283694.htm
55,"
1室1厅1卫        ",56平米,48214元/平米,南,高层,精装修,9,1155,浦东,1,2004年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319932968.htm
56,"
2室2厅1卫        ",90平米,33333元/平米,南,中层,简装修,0,0,松江,0,2005年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319565732.htm
57,"
2室1厅1卫        ",64.79平米,26393元/平米,南,低层,中装修,0,0,嘉定,0,1996年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319404874.htm
58,"
4室2厅3卫        ",169平米,112426元/平米,南北,中层,精装修,8,496,黄浦,0,2012年,无 ,个人产权,普通住宅,"
                                2018-04-06
                        ",95459元/平米,http://esf.sh.fang.com/chushou/3_319484103.htm
59,"
3室2厅2卫        ",116平米,52586元/平米,南,高层,豪华装修,10,793,闵行,0,2000年,无 ,个人产权,普通住宅,"
                                2018-04-04
                        ",47176元/平米,http://esf.sh.fang.com/chushou/3_319366603.htm
60,"
2室2厅1卫        ",121平米,79339元/平米,南,低层,精装修,2,308,浦东,0,2012年,无 ,个人产权,普通住宅,"
                                2018-04-11
                        ",72497元/平米,http://esf.sh.fang.com/chushou/3_319806843.htm
