,name,link,long,la,Property type,Property costs,Total area,Number of units,Year built,Parking spots,Volume rate,Green rating,Developer Company,Property management company,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803
928,兴欣花苑,https://shanghai.anjuke.com/community/view/307054,31.030784000000004,121.655383,公寓,0,6000,2600,2003,128,1,35,上房置业开发有限公司,上海南汇惠房物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,海湾新城,https://shanghai.anjuke.com/community/view/291485,31.238337,121.733777,公寓,0,164328,1652,2010,695,1,35,上海国飞绿色置业有限公司,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,胶东路657弄小区,https://shanghai.anjuke.com/community/view/291449,31.265119,121.605163,公寓,0,18000,450,1995,120,1,42,胶东路房地产开发有限公司,上海振南物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,祝和苑,https://shanghai.anjuke.com/community/view/229960,31.13012800000001,121.769819,公寓,0,200000,2620,2009,500,2,35,上海祝桥新镇投资发展有限公司,上海祝城物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,绿地上河院,https://shanghai.anjuke.com/community/view/222723,31.146172,121.567096,别墅,3,40000,132,2010,1,0,50,绿地集团,上海深长城物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,东旺名苑,https://shanghai.anjuke.com/community/view/203917,31.162607,121.510024,公寓,1,80000,520,2009,1,1,38,上海农工商房地产（集团）有限公司,上海农工商旺都物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,鼎鑫名流苑,https://shanghai.anjuke.com/community/view/189846,31.19044,121.716119,公寓,2,160000,286,2009,842,1,46,上海浦东古树名木文化发展有限公司,上海裕华物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,大华锦绣华城二街区春塘花苑,https://shanghai.anjuke.com/community/view/176064,31.18748,121.534027,公寓,0,27000,300,2011,88,1,60,上海浦华房地产有限公司,上海市浦华物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,金纬苑,https://shanghai.anjuke.com/community/view/171487,31.347813,121.595641,公寓,0,50000,980,2003,219,1,40,上海金纬房地产发展有限公司,上海外高桥物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,石家街60弄小区,https://shanghai.anjuke.com/community/view/148758,31.350975,121.587455,公寓,0,4675,32,1987,10,2,20,上海高桥鹏静置业房产开发有限公司,上海浦东新区高桥物业发展公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,瑞阳苑(A区),https://shanghai.anjuke.com/community/view/83178,31.105432,121.594229,公寓,1,86000,1200,2007,120,1,35,上海鹏航建设发展有限公司,友全物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,环庆新苑,https://shanghai.anjuke.com/community/view/75544,31.251492,121.694437,公寓,0,93500,804,2004,236,1,38,合庆房地产开发有限公司,绮云物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,欧风家园(北区),https://shanghai.anjuke.com/community/view/62167,31.104062,121.592001,公寓,0,86000,1240,2006,124,1,32,上海瀛浦置业开发有限公司,友全物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,长城中环别墅,https://shanghai.anjuke.com/community/view/18860,31.189529,121.635196,别墅,2,119086,368,2007,496,0,60,上海振川物业有限公司,上海振川物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,上炼一村,https://shanghai.anjuke.com/community/view/17557,31.341169,121.57753999999998,公寓,0,73000,1080,1981,80,1,32,上海鹏静置业有限公司,高桥物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,水洞港路69弄小区,https://shanghai.anjuke.com/community/view/16014,31.30097,121.67121000000002,公寓,0,38760,496,1994,120,1,30,上海曹路房地产开发有限公司,曹路物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,金隆家园,https://shanghai.anjuke.com/community/view/15021,31.319298,121.64177,公寓,0,60000,680,2007,120,1,38,上海五隆置业发展有限公司,新园物业有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,锦绣前程阳光苑,https://shanghai.anjuke.com/community/view/14719,31.207974,121.554167,公寓,1,37007,164,2007,100,2,35,上海市花木房地产开发经营公司,上海浦东新区花木物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,锦绣花木公寓,https://shanghai.anjuke.com/community/view/13793,31.209523,121.550206,公寓,2,42000,400,2007,200,2,40,上海金钢房地产开发公司,富宁物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,新芳邻,https://shanghai.anjuke.com/community/view/13305,31.278748,121.660453,公寓,0,54000,564,2002,135,1,45,上海新芳邻房地产开发有限公司,曹路物业有限公司 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,张江东区人才公寓,https://shanghai.anjuke.com/community/view/13285,31.252521999999995,121.708766,公寓,0,79980,774,2007,324,1,30,浦庆投资开发有限公司,上海合运物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,高桥东街名庭,https://shanghai.anjuke.com/community/view/13100,31.353322,121.592618,公寓,0,78000,580,2005,220,1,40,上海兴高房地产有限公司,上海兴高物业发展有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,康花新村,https://shanghai.anjuke.com/community/view/13035,31.155107,121.551245,公寓,0,250000,560,1997,80,1,35,上海万居房产开发有限公司,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,凌二小区,https://shanghai.anjuke.com/community/view/12891,31.251393,121.548927,公寓,0,38600,465,1996,115,1,28,上海建工集团,上海洋泾物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,博捷名苑,https://shanghai.anjuke.com/community/view/12795,31.338107,121.596024,公寓,1,45000,300,2004,40,1,41,上海博捷房地产开发有限公司, 上海永恒物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,陶园别墅,https://shanghai.anjuke.com/community/view/12228,31.227744,121.621255,别墅,2,13000,58,2003,116,1,40,上海新美房地产发展有限公司,上海豫园旅游商城物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,爱法奥朗新庄园,https://shanghai.anjuke.com/community/view/11922,31.039604,121.590397,别墅,3,600000,47,2010,374,0,50,上海爱法房地产经营开发有限公司,上海东湖物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,雍江星座,https://shanghai.anjuke.com/community/view/11559,31.218006,121.520793,公寓,1,46000,1500,2000,300,2,40,上海建工集团,上实物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,华高苑(北区),https://shanghai.anjuke.com/community/view/9433,31.290797,121.613365,公寓,1,87000,972,1998,300,1,35,大华（集团）有限公司,上海华高物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,金光小区,https://shanghai.anjuke.com/community/view/9376,31.150892,121.519158,公寓,0,100000,2000,1997,230,1,35,中房集团,上海安荣物业管理服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,东城花苑二村,https://shanghai.anjuke.com/community/view/7973,31.055736,121.77739,公寓,0,1350,1000,2002,400,1,45,上海南汇物资总公司房地产开发公司,东城二村居民管理处,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,申云小区(西区),https://shanghai.anjuke.com/community/view/7951,31.045428,121.757909,公寓,2,30000,400,2000,130,1,30,暂无资料,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,康桥经典花园,https://shanghai.anjuke.com/community/view/7913,31.159913,121.580886,别墅,2,200000,460,2001,769,1,35,上海天工置业有限公司,上海春川物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,百花新村,https://shanghai.anjuke.com/community/view/7910,31.114641,121.590814,公寓,0,800000,200,1996,215,2,47,上海江东土地房产开发有限公司,上海江东土地房产开发有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,桃源公寓,https://shanghai.anjuke.com/community/view/7875,31.12480200000001,121.591133,公寓,0,89500,1120,2004,165,1,35,上海鹏航建设发展有限公司,周房置业物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,周浦新村,https://shanghai.anjuke.com/community/view/7787,31.116181,121.575974,公寓,0,25600,860,1998,86,1,35,上海沙厦房地产有限公司,正福物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,天竹新村,https://shanghai.anjuke.com/community/view/7778,31.179217,121.755379,公寓,0,44547,33,1995,2,1,35,上海红蜻蜓置业有限公司,上海紫泰物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,东方夏威夷,https://shanghai.anjuke.com/community/view/7745,31.040566,121.59731399999998,别墅,5,100000,500,2008,450,0,70,上海厦大房地产开发有限公司,仲联量行物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,绿洲千岛花园,https://shanghai.anjuke.com/community/view/7744,31.059253,121.587591,别墅,5,468200,190,2007,380,0,75,上海航头高夫置业有限公司,上海瀚洋物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,龙威茗庭,https://shanghai.anjuke.com/community/view/7729,31.115711,121.579972,公寓,1,51900,432,2007,432,1,36,上海汇业房地产开发有限公司,启沅物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,新凤凰城,https://shanghai.anjuke.com/community/view/7719,31.05992100000001,121.77745,公寓,1,600000,456,2004,120,1,40,上海颐和置业有限公司,上海市鑫源物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,昱龙家园(北区),https://shanghai.anjuke.com/community/view/7710,31.129437,121.60309,公寓,1,45000,520,2008,120,1,30,上海天昱通房地产开发有限责任公司,上海豫园物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,南郊花园(西区),https://shanghai.anjuke.com/community/view/7689,31.115555,121.577588,别墅,2,90000,900,2004,700,1,30,上海汇裕置业有限公司,汇裕物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,富康别墅,https://shanghai.anjuke.com/community/view/7680,31.037129,121.602371,别墅,0,86000,86,2000,124,0,45,上海鹏联置业有限公司,航头置业开发有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,东欣小区,https://shanghai.anjuke.com/community/view/6074,31.23195,121.52915,公寓,2,35000,1000,1993,300,3,35,上海建工集团,潍坊物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,东沟七村,https://shanghai.anjuke.com/community/view/6072,31.301309000000003,121.583637,公寓,1,60900,812,1998,180,1,35,上海建工集团股份有限公司,东沟物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,长征小区,https://shanghai.anjuke.com/community/view/6036,31.160942,121.571988,公寓,0,23000,438,1995,180,1,28,无,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,梅园高层小区,https://shanghai.anjuke.com/community/view/5932,31.237006,121.531655,公寓,2,43000,350,1995,180,1,40,上海黄浦房产开发有限公司,上海浦东新区潍坊物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,潼港六村,https://shanghai.anjuke.com/community/view/5882,31.348426,121.577422,公寓,0,78000,680,1993,380,1,40,上海潼港置业有限公司,潼港物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,杨园新村,https://shanghai.anjuke.com/community/view/5830,31.321623,121.638181,公寓,1,530750,690,1994,180,1,35,上海建工集团,业主自管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,晨阳小区,https://shanghai.anjuke.com/community/view/5779,31.182761,121.757167,公寓,1,2000,900,2000,200,1,30,晨阳房地产开发有限公司,上海浦东物业管理公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,桥畔小区,https://shanghai.anjuke.com/community/view/5777,31.248922,121.570024,公寓,1,59000,630,1997,296,2,48,上海建工集团,上海建工物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,柳博小区,https://shanghai.anjuke.com/community/view/5706,31.270203,121.591707,公寓,0,46000,260,1997,90,1,26,上海驰振物业管理有限公司,上海驰振物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,峨海小区,https://shanghai.anjuke.com/community/view/5679,31.221338,121.534025,公寓,0,12000,687,2000,100,1,35,美沪地产,上海美沪物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,乳山五村,https://shanghai.anjuke.com/community/view/5574,31.237776,121.52964,公寓,0,47000,400,1985,210,1,37,上海陆家嘴开发有限公司,上海浦东新区潍坊物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,杏花新苑,https://shanghai.anjuke.com/community/view/5519,31.207354,121.554602,公寓,1,200000,192,1995,100,1,28,上海东源房地产开发经营有限公司,上海建工物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,上钢八村,https://shanghai.anjuke.com/community/view/5416,31.177335,121.491856,公寓,0,21000,1200,1985,150,1,30,上海三林房地产开发经营有限公司,上钢物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,标马小区,https://shanghai.anjuke.com/community/view/5225,31.20114,121.561294,公寓,0,200000,2000,1995,600,1,25,上海建工集团,上海建工物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,上泰雅苑,https://shanghai.anjuke.com/community/view/2733,31.284669,121.588864,公寓,1,40000,490,2003,103,1,50,上海上泰置业有限公司,上海友谊集团物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,潼港四村东兴苑,https://shanghai.anjuke.com/community/view/2729,31.35376,121.581789,公寓,1,63000,600,2002,300,1,30,上海潼港置业有限公司,潼港物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,金藤苑,https://shanghai.anjuke.com/community/view/2693,31.274524,121.598119,公寓,0,69000,840,1994,259,2,35,上海嘉屯房地产开发经营有限公司,上海顺启物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,金桥佳苑,https://shanghai.anjuke.com/community/view/2683,31.258072,121.596488,公寓,0,35000,350,2002,300,1,27,上海建工集团,上海洋泾物业管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,爱法新城,https://shanghai.anjuke.com/community/view/2593,31.283537,121.592242,公寓,0,153000,1500,2002,600,2,35,上海爱法房地产经营开发有限公司,上海锐翔上房物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,环龙公寓,https://shanghai.anjuke.com/community/view/2590,31.196061,121.564819,公寓,1,67000,450,2002,400,1,30,上海泰龙房地产发展有限公司,上海中凯物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,绿海家园,https://shanghai.anjuke.com/community/view/2588,31.192679,121.714185,公寓,1,58900,690,2002,217,2,35,绿地集团,上海吉松物业管理中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,汇佳苑,https://shanghai.anjuke.com/community/view/2586,31.287642,121.585045,公寓,0,96542,300,2001,200,1,38,上海汇丰房地产开发经营公司,上海安远物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,盛源公寓,https://shanghai.anjuke.com/community/view/2525,31.15008,121.534205,公寓,0,66000,480,2003,300,1,40,上海锦源房地产有限公司,上海盛源物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,永久城市花园,https://shanghai.anjuke.com/community/view/2479,31.34351400000001,121.59683400000002,公寓,1,100000,720,2004,238,2,35,上海永圣房地产有限公司,上海永久物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,临沂大楼,https://shanghai.anjuke.com/community/view/2326,31.201706,121.52536,公寓,0,86000,776,1994,80,2,25,上海建工,上海振南物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,伟业金锦苑二村,https://shanghai.anjuke.com/community/view/2294,31.288201,121.591851,公寓,0,48000,580,2003,235,1,45,上海浦东伟业房地产开发总公司,上海伟莱物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,兰沁苑,https://shanghai.anjuke.com/community/view/2282,31.210835,121.629764,公寓,2,100000,604,2004,198,2,40,上海张江房地产有限公司,上海张江物业发展有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,品华苑,https://shanghai.anjuke.com/community/view/2162,31.146016,121.527388,公寓,0,9000,1032,1996,300,1,27,上海市浦东新区房地产（集团）有限公司,上海锦佳物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,怡泰家苑,https://shanghai.anjuke.com/community/view/2126,31.191628,121.521808,公寓,1,28000,228,2001,200,1,38,上海怡泰房地产开发有限公司,上海中凯物业有限公司无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,繁荣昌盛小区,https://shanghai.anjuke.com/community/view/2057,31.232466,121.526904,公寓,0,25000,832,1996,50,1,35,上海建工集团,通达物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,锦绣华庭,https://shanghai.anjuke.com/community/view/1821,31.212644,121.544442,公寓,1,50000,500,2003,300,2,40,上海由由房地产开发有限公司,上海由由物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,正旺苑,https://shanghai.anjuke.com/community/view/1686,31.277686,121.60926,公寓,1,120000,1300,2004,243,1,40,上海正旺房地产开发有限公司,上海欣城物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,华城秀庭,https://shanghai.anjuke.com/community/view/1627,31.168236,121.495955,公寓,1,27650,84,2004,40,2,39,上海吉鑫置业发展有限公司,恒大锦之嘉物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,东方明珠国际公寓,https://shanghai.anjuke.com/community/view/1611,31.205887,121.52733,公寓,1,33600,240,2006,116,2,41,上海东方明珠北区置业有限公司,上海东方明珠物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,东兴华苑,https://shanghai.anjuke.com/community/view/1603,31.255640000000003,121.592882,公寓,1,60000,650,2002,230,1,40,上海东兴房地产开发有限公司,欣城物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,东明苑,https://shanghai.anjuke.com/community/view/1588,31.189005,121.517291,公寓,1,34782,576,1997,680,4,40,上海经济适用房发展中心,上海齐锦物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,仁恒家园,https://shanghai.anjuke.com/community/view/988,31.338612,121.599327,公寓,2,82000,423,2007,330,1,55,上海仁恒高乔房地产有限公司,上海仁恒物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,锦华东南苑,https://shanghai.anjuke.com/community/view/978,31.184536,121.546946,公寓,0,42000,400,2004,200,1,38,佳益置业发展（上海）有限公司,上海福高物业管理公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,高行馨苑,https://shanghai.anjuke.com/community/view/866,31.303364,121.619168,公寓,0,110000,962,2005,225,1,45,贝越机构上海荣海房地产发展有限公司,信汇物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,源城锦翠苑,https://shanghai.anjuke.com/community/view/741,31.157718,121.505181,公寓,0,51703,611,2007,460,1,47,上海源众房地产有限公司,上海锦南物业经营有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,汇园,https://shanghai.anjuke.com/community/view/712,31.286847,121.613331,公寓,0,20800,100,2005,55,1,40,上海汇伦房地产开发经营有限公司,上海华高物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,昌里都市庭院,https://shanghai.anjuke.com/community/view/420,31.185019,121.513634,公寓,1,45000,860,1999,260,2,35,蓝印房地开发有限公司,上海中凯物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,金桥爱建园,https://shanghai.anjuke.com/community/view/415,31.243205,121.580577,公寓,1,150000,1168,2003,580,1,50,上海宇宙置业有限公司,上海芸绮物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,爱建大楼,https://shanghai.anjuke.com/community/view/403,31.227771,121.524286,公寓,0,2000,180,1993,50,1,25,上海长宁公房房地产有限公司,上海阳广物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,金爵别墅,https://shanghai.anjuke.com/community/view/399,31.23054500000001,121.661444,别墅,6,180000,147,2009,240,0,60,上海金爵置业有限公司,上海金晨物业经营管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,维多利华庭,https://shanghai.anjuke.com/community/view/378,31.249475,121.55498500000002,公寓,2,110000,792,2005,422,2,49,上海国飞绿色置业有限公司,维多利华庭物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,金苹果花园,https://shanghai.anjuke.com/community/view/373,31.160975,121.506435,公寓,1,110000,1100,2002,600,4,51,上海佳诚置业有限公司,上海浦东华沙物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,牡丹苑,https://shanghai.anjuke.com/community/view/322,31.213411,121.549366,公寓,0,180000,1200,1999,300,1,30,上南开发集团,上海花城物业管理发展有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,上南二村,https://shanghai.anjuke.com/community/view/309,31.181804,121.502715,公寓,0,320000,1600,1989,249,2,20,上南集团有限公司,上海镇南物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,上南山水苑东区,https://shanghai.anjuke.com/community/view/304,31.164365000000004,121.511338,公寓,0,48000,492,2001,63,1,40,上海韶盛房地产发展有限公司,上海银顺物业管理公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,金浦花园,https://shanghai.anjuke.com/community/view/296,31.216942,121.529252,公寓,1,4825,336,1994,240,1,30,上海金马新城房地产有限公司,上海金马新城房地产有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,住友昌盛新苑,https://shanghai.anjuke.com/community/view/257,31.185556,121.51548,公寓,1,38000,296,2002,150,1,42,上海住友房地产发展有限公司,上海协仁物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,天安花园,https://shanghai.anjuke.com/community/view/228,31.228742,121.561644,公寓,1,140000,890,2004,500,2,50,上海天洋房地产有限公司,联洋物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,浦东花园,https://shanghai.anjuke.com/community/view/201,31.239578,121.591166,别墅,6,35000,117,2005,200,0,55,上海美园置地有限公司,仲量联行物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,弘扬沁园,https://shanghai.anjuke.com/community/view/172,31.245573,121.557248,公寓,1,40000,230,2002,200,3,30,上海弘扬房地产开发有限公司,港联物业服务（上海）有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,绿缘公寓,https://shanghai.anjuke.com/community/view/148,31.216221,121.554505,公寓,1,65000,900,2000,200,3,45,上海建华房地产开发经营公司,上海勤乐物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,春之声公寓,https://shanghai.anjuke.com/community/view/143,31.21486,121.531842,公寓,1,50000,568,2003,250,2,40,上海中星（集团）有限公司,上海中星集团申城物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,涵合园(公寓),https://shanghai.anjuke.com/community/view/133,31.205427,121.537792,公寓,1,120000,1200,2004,600,1,45,上海广业轩园置业有限公司,陆家嘴物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,海上国际花园(一期),https://shanghai.anjuke.com/community/view/117,31.186551,121.551868,公寓,1,148835,900,2009,570,1,45,上海香溢房地产有限公司,上海杨房物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,金色维也纳金樽花园,https://shanghai.anjuke.com/community/view/108,31.229549,121.571783,别墅,4,87949,261,2002,360,0,60,上海四季春置业有限公司,上海金晨物业经营管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,嘉德公寓,https://shanghai.anjuke.com/community/view/3,31.221569,121.526159,公寓,1,30000,280,2000,300,2,30,绿地集团,上海市联昌物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
