,name,link,long,la,Property type,Property costs,Total area,Number of units,Year built,Parking spots,Volume rate,Green rating,Developer Company,Property management company,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803
1337,南江苑(二期),https://shanghai.anjuke.com/community/view/656785,31.173992,121.52456,公寓,0,3000,3200,2000,650,1,27,恒大地产集团有限公司,上海南江物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,学前二村,https://shanghai.anjuke.com/community/view/653116,31.352588,121.590493,公寓,0,4650,1089,1993,82,2,45,浦东房地产开发公司,上海高桥物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,后长街91弄小区,https://shanghai.anjuke.com/community/view/646651,31.16905,121.502961,公寓,0,13000,96,2005,150,2,35,上海成发房地产开发有限公司,上海上钢物业公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,凌兆玉兰苑,https://shanghai.anjuke.com/community/view/620093,31.146917,121.507782,公寓,0,100000,360,2015,320,1,40,上海兆隆置业有限公司,上海三凌物业管理公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,汤臣豪园(二期),https://shanghai.anjuke.com/community/view/615585,31.21552,121.591113,公寓,3,190000,640,2006,973,1,39,上海汤臣房地产开发有限公司,上海东湖物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,繁荣华庭,https://shanghai.anjuke.com/community/view/610707,31.111857,121.578292,公寓,1,159923,1204,2016,972,2,35,上海贝能房地产开发有限公司,上海星乐物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,宝业万华城,https://shanghai.anjuke.com/community/view/595176,31.031921,121.744417,公寓,2,246000,1600,2015,800,1,35,上海宝筑房地产开发有限公司,上海同进物业服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,绿宝馥庭,https://shanghai.anjuke.com/community/view/583995,31.149386,121.577519,别墅,7,40000,102,2013,2,0,30,上海汇宝房地产发展有限公司,仲联量行物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,梵克雅堡别墅,https://shanghai.anjuke.com/community/view/527593,31.277512,121.622489,别墅,7,35000,20,2014,60,0,35,上海星力资产经营管理有限公司,上海联讯物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381,楼夏景园,https://shanghai.anjuke.com/community/view/524101,31.328305,121.631066,公寓,1,100000,962,2012,1000,1,35,上海五隆置业发展有限公司,上海住安物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1382,梵高别墅,https://shanghai.anjuke.com/community/view/520040,31.217566,121.626483,别墅,4,25560,86,2004,130,0,44,上海鹏远房地产开发有限公司,上海鹏欣物业服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,乾耀东港,https://shanghai.anjuke.com/community/view/478830,30.907643,121.810038,公寓,1,108321,894,2013,510,1,35,上海乾耀置业有限公司,上海英达莱物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,华虹东方苑,https://shanghai.anjuke.com/community/view/424652,31.154375,121.57743,公寓,2,41442,396,2012,291,1,40,上海兆田置业有限公司,上海上工物业发展有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,河滨小区,https://shanghai.anjuke.com/community/view/424581,31.198635,121.708983,公寓,0,2600,180,1981,120,1,30,上海东方金马房产发展有限公司,上海新川物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,康敏苑(东区),https://shanghai.anjuke.com/community/view/407494,31.042345,121.772691,公寓,0,44949,348,2008,273,1,35,上海润景置业有限公司,上海南汇惠房物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,大华锦绣华城十八街区(公寓),https://shanghai.anjuke.com/community/view/394705,31.182395,121.54294,公寓,1,850000,2500,2003,800,1,38,大华集团,上海浦华物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,大华锦绣华城十一街区,https://shanghai.anjuke.com/community/view/394699,31.187387,121.542489,公寓,1,56000,750,2007,300,1,45,上海锦绣华城房地产开发有限公司,上海浦华物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,圣鑫苑(三期),https://shanghai.anjuke.com/community/view/383831,31.131892,121.592034,公寓,1,70000,431,2007,50,1,38,上海周房置业有限公司,上海周房物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,毕加索艺墅,https://shanghai.anjuke.com/community/view/381950,31.221113,121.654639,别墅,2,280000,1280,2009,720,1,35,上海华飞投资集团有限公司,东郊皇廷物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,莫奈庄园,https://shanghai.anjuke.com/community/view/381945,31.12356,121.600004,别墅,3,520000,128,2000,128,0,40,上海瀛浦置业有限公司,上海圣维仕物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,海芦镜湖苑,https://shanghai.anjuke.com/community/view/375850,30.867596,121.862602,公寓,0,25800,26,2008,530,1,35,上海临港芦潮港经济发展有限公司,上海开伦物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,海汇长风苑,https://shanghai.anjuke.com/community/view/375848,30.869732,121.866758,公寓,0,45782,560,2006,127,1,30,上海临港芦潮港经济发展有限公司,上海开伦物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,海汇清波苑,https://shanghai.anjuke.com/community/view/375847,30.870309,121.866521,公寓,0,254100,645,2008,650,1,35,上海临港芦潮港经纪有限公司,上海开伦物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
